Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
2.959595203,98.10849,-173.9536,145.5285,-0.3630016,-0.5208873,0.7775094,30.84291,34.53143,-21.02632,1029.477
2.979762077,100.9487,-172.3913,137.2293,-0.3814161,-0.5829919,0.9233009,30.84291,34.53143,-21.02632,1029.477
2.999929905,79.89443,-175.5759,125.0857,-0.3217782,-0.7286255,0.911173,30.84291,34.53143,-21.02632,1029.477
3.020097256,88.90885,-180.9236,103.0564,-0.2453944,-0.8046768,0.9266443,30.75153,28.12141,-27.84019,1029.477
3.040265083,96.8119,-256.1513,46.12178,-0.2487397,-0.8380024,1.384339,30.75153,28.12141,-27.84019,1029.477
3.060432434,105.3324,-113.6872,110.2571,-0.1029913,-0.7348151,1.307828,27.94431,20.58896,-33.82189,1029.477
3.080600262,123.8551,-97.04339,124.9026,-0.2977707,-0.5277975,1.153449,27.94431,20.58896,-33.82189,1029.477
3.100768089,161.1477,-122.2795,71.93456,-0.286037,-0.4243696,1.191412,22.417,13.73744,-38.11483,1029.474
3.120935440,190.2284,-134.477,18.84444,-0.1756717,-0.5541326,1.243464,22.417,13.73744,-38.11483,1029.474
3.141103268,202.33,-119.2752,23.36015,-0.2309538,-0.5444682,1.243516,22.417,13.73744,-38.11483,1029.474
3.161270618,195.353,-167.5244,-5.564815,-0.2577194,-0.3533661,0.9522251,18.77097,6.879687,-40.0663,1029.474
3.178916931,179.6087,-257.4131,-45.22985,-0.1035077,-0.2408471,1.223372,18.77097,6.879687,-40.0663,1029.476
3.199084759,209.1216,-272.014,-64.81828,0.03854224,-0.1514587,1.158135,14.8566,-1.938312,-41.15134,1029.476
3.219252110,244.6854,-295.3274,-84.83387,0.04835258,0.001817456,1.070735,14.8566,-1.938312,-41.15134,1029.476
3.239419937,277.2854,-307.9455,-105.0936,0.1399563,0.02594314,0.9692111,14.8566,-1.938312,-41.15134,1029.476
3.259587765,282.0396,-293.645,-111.562,0.116071,0.07274302,0.864471,5.416937,-9.66865,-41.42715,1029.476
3.279755116,263.3316,-268.8896,-120.0442,0.1603051,0.1285802,0.7615643,5.416937,-9.66865,-41.42715,1029.476
3.299922943,224.4955,-239.5676,-132.9811,0.2396438,-0.05504886,0.7438506,-4.808049,-19.00066,-36.29189,1029.474
3.320090294,182.4489,-214.4516,-164.286,0.1509688,0.2636876,0.5096543,-4.808049,-19.00066,-36.29189,1029.474
3.340258121,188.1909,-183.7476,-188.9393,0.160137,0.227667,0.4326641,-4.808049,-19.00066,-36.29189,1029.477
3.360425949,125.2135,-139.7045,-205.2325,0.0833401,0.2449501,0.4086916,-10.76264,-29.10593,-29.35775,1029.477
3.380593300,84.71036,-113.0263,-214.325,0.09146799,0.3621135,0.2819077,-10.76264,-29.10593,-29.35775,1029.473
3.400761127,78.22739,-102.6915,-218.3525,0.06653101,0.5055838,0.2834707,-11.39644,-35.65976,-23.62434,1029.473
3.420928001,72.54707,-90.07341,-225.065,0.1260795,0.5566612,0.2963164,-11.39644,-35.65976,-23.62434,1029.475
3.441095829,25.314,-77.21499,-207.8565,0.1015494,0.6434435,0.3260987,-7.030717,-40.21912,-20.0151,1029.475
3.461263180,-14.20125,-72.28793,-196.079,0.06723368,0.7566072,0.3742741,-7.030717,-40.21912,-20.0151,1029.477
3.478909969,-36.79903,-74.39095,-201.8152,0.05128327,0.8224014,0.4277572,-7.030717,-40.21912,-20.0151,1029.477
3.499077797,-74.33852,-93.43822,-217.6202,0.02398384,0.8767124,0.7333341,-1.177134,-41.61473,-20.82231,1029.477
3.519245624,-187.5126,-110.022,-227.9331,0.006656426,0.9725604,0.5992652,-1.177134,-41.61473,-20.82231,1029.476
3.539412975,-151.6402,-135.0779,-260.0923,0.061152,1.109716,0.5053719,3.869328,-40.73291,-23.85728,1029.476
3.559580803,-102.4314,-135.0779,-239.8326,0.04728878,1.084664,0.5530497,3.869328,-40.73291,-23.85728,1029.476
3.579747677,-80.01883,-135.7989,-229.0926,-0.01988595,1.103249,0.5629106,3.869328,-40.73291,-23.85728,1029.476
3.599915504,-51.06157,-154.3655,-223.5394,-0.08573085,1.123995,0.602257,8.476883,-37.1293,-29.10739,1029.477
3.620082855,-51.86422,-172.2711,-206.8801,-0.1578094,1.1537,0.5607103,8.476883,-37.1293,-29.10739,1029.477
3.640250683,-35.99638,-186.5116,-180.03,-0.185311,1.049953,0.5738465,10.74331,-34.78152,-32.62306,1029.477
3.660418510,-44.51686,-199.4901,-160.6246,-0.2174531,0.9504376,0.6415883,10.74331,-34.78152,-32.62306,1029.477
3.680585861,-69.89305,-227.5503,-133.4083,-0.2297424,0.9545069,0.6493618,9.935621,-32.11414,-35.74281,1029.48
3.700753689,-93.97266,-256.7522,-124.682,-0.2432403,0.9413964,0.6707569,9.935621,-32.11414,-35.74281,1029.48
3.720921040,-97.55373,-268.2887,-126.3906,-0.3130532,0.9146644,0.6844627,9.935621,-32.11414,-35.74281,1029.478
3.741088867,-94.09614,-267.1471,-122.8513,-0.3387087,0.8983469,0.7120278,7.229071,-31.27147,-40.33128,1029.478
3.761256218,-115.0886,-253.3273,-109.4262,-0.3233527,0.8726999,0.7766642,7.229071,-31.27147,-40.33128,1029.482
3.778903484,-140.4031,-242.7521,-95.81803,-0.3018205,0.8415458,0.7712303,1.037534,-29.04484,-44.90194,1029.482
3.799070358,-181.0914,-233.9195,-78.79258,-0.2683499,0.786207,0.8236991,1.037534,-29.04484,-44.90194,1029.485
3.819238186,-250.6136,-234.0396,-39.92084,-0.2105581,0.7839736,0.9121201,1.037534,-29.04484,-44.90194,1029.485
3.839405537,-329.1501,-253.0268,-6.114023,-0.1481059,0.8032214,0.9522781,-7.130816,-25.30502,-48.14367,1029.486
3.859573364,-365.7635,-255.6105,22.20071,-0.09596423,0.8559126,0.9844396,-7.130816,-25.30502,-48.14367,1029.486
3.879740715,-394.9059,-242.9324,66.32043,-0.0007476083,0.8678675,1.03708,-17.8849,-15.64261,-48.21572,1029.486
3.899908543,-404.1056,-238.9667,107.6941,0.06703298,0.8686471,1.037287,-17.8849,-15.64261,-48.21572,1029.486
3.920076370,-392.6215,-245.6963,107.6941,0.1346967,0.8192907,1.041726,-17.8849,-15.64261,-48.21572,1029.487
3.940243721,-337.2384,-241.7907,107.5721,0.3525949,0.6647028,1.005241,-30.09907,0.7667212,-40.60107,1029.487
3.960411549,-311.5535,-245.3959,124.1093,0.5113508,0.5085778,0.8657749,-30.09907,0.7667212,-40.60107,1029.486
3.980578423,-281.3614,-248.5805,171.0361,0.5142894,0.4814862,0.8569981,-38.909,17.88934,-27.01902,1029.486
4.000746727,-262.0359,-250.9238,218.146,0.6201781,0.2995858,0.7646014,-38.909,17.88934,-27.01902,1029.488
4.020913601,-218.3839,-234.1598,273.1278,0.6379286,0.1651286,0.6749054,-41.37079,28.23028,-9.88431,1029.488
4.041081429,-183.1289,-209.5846,303.2122,0.5452118,0.03233396,0.650078,-41.37079,28.23028,-9.88431,1029.483
4.061249256,-164.4827,-207.5417,316.5153,0.5289977,-0.07811417,0.5275062,-41.37079,28.23028,-9.88431,1029.483
4.078896046,-136.6368,-197.4472,328.4758,0.501386,-0.1657788,0.4883898,-38.39473,36.75067,5.148391,1029.484
4.099063396,-93.35523,-195.2841,327.0112,0.4376617,-0.2234378,0.4449905,-38.39473,36.75067,5.148391,1029.484
4.119231224,-32.29183,-201.2326,309.0094,0.3747436,-0.3277878,0.4034862,-27.17479,44.34702,15.77183,1029.486
4.139398098,23.95566,-200.8721,271.8463,0.3163318,-0.5086558,0.4356287,-27.17479,44.34702,15.77183,1029.486
4.159566402,61.12469,-197.6876,257.3228,0.3291669,-0.6423488,0.5037284,-27.17479,44.34702,15.77183,1029.483
