Time (s),X (g),Y (g),Z (g)
10.061094761,-0.2029151,-0.06921059,0.2024183
10.081261635,-0.2299327,-0.06331271,0.1297169
10.101429939,-0.2588918,-0.08169526,0.05330555
10.121596813,-0.2520112,-0.09204364,0.09781294
10.141764164,-0.2358529,-0.09329844,0.1381578
10.159411430,-0.2691079,-0.09625971,0.1378615
10.179578781,-0.2835979,-0.03850985,0.1283831
10.199745655,-0.250804,-0.005794168,0.1347156
10.219913483,-0.2063269,-0.01682985,0.154195
10.240080833,-0.2091359,0.01155263,0.1359986
10.260248661,-0.2050164,0.04763186,0.1141881
10.280416012,-0.1646732,0.1015133,0.1161729
10.300583839,-0.2170794,0.1066024,0.1101956
10.320751190,-0.1286386,0.09154838,0.1145936
10.340919018,-0.1224758,0.09123093,0.1516546
10.361085892,-0.09574592,0.1631111,0.1348385
10.381253242,-0.123399,0.1518381,0.1197108
10.401421070,-0.1223578,0.1543745,0.1393055
10.421588421,-0.106248,0.1122987,0.1038732
10.441756248,-0.05331001,0.1096535,0.1028649
10.459403038,-0.00573802,0.1027125,0.1499045
10.479569912,-0.005342275,0.1133221,0.1250408
10.499737739,-0.0005706251,0.09914637,0.0509007
10.519905090,-0.01795328,0.08346146,0.1445483
10.540072918,-0.04228047,0.1248363,0.09643549
10.560240269,-0.05841872,0.1242111,0.05721164
10.580407619,-0.07683802,0.1688012,0.1598817
10.600575447,-0.02823213,0.1681991,0.1289701
10.620742321,-0.0668349,0.1463419,0.15271
10.640910149,-0.1047561,0.0808441,0.1905224
10.661077499,-0.05177879,0.1230438,0.2409078
10.681245327,-0.03094071,0.1565178,0.2268199
10.701412678,-0.1071565,0.1084045,0.304001
10.721580505,-0.1455259,0.09981534,0.3154877
10.741747856,-0.1225544,0.2501746,0.2680167
10.759394169,-0.1420929,0.3743327,0.1675865
10.779561520,-0.1669125,0.4074309,0.148618
10.799729347,-0.2576954,0.5161481,0.1585733
10.819896698,-0.2632266,0.5029012,-0.0511434
10.840064526,-0.2562184,0.30231,-0.05778407
10.860231876,-0.223992,0.286901,-0.01123236
10.880399704,-0.1915085,0.2633221,-0.04413693
10.900566578,-0.195692,0.1757131,-0.1655599
10.920733929,-0.3157747,0.1680587,-0.02653092
