Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
10.378847122,100.0234,15372286728.0913,4.15875,0.9375,1
10.378847122,100.0234,15372286728.0913,4.15875,0.9375,1
10.554793358,100.0234,15372286728.0913,4.158125,-0.3125,1
10.554793358,100.0234,15372286728.0913,4.158125,-0.3125,1
10.554793358,100.0234,15372286728.0913,4.158125,-0.3125,1
10.730586529,100.0234,15372286728.0913,4.16,0,1
10.730586529,100.0234,15372286728.0913,4.16,0,1
10.730586529,100.0234,15372286728.0913,4.16,0,1
10.730586529,100.0234,15372286728.0913,4.16,0,1
10.906246185,100.0234,15372286728.0913,4.160625,0,1
10.906246185,100.0234,15372286728.0913,4.160625,0,1
10.906246185,100.0234,15372286728.0913,4.160625,0,1
11.082036972,100.0234,15372286728.0913,4.159375,0.9375,1
11.082036972,100.0234,15372286728.0913,4.159375,0.9375,1
11.082036972,100.0234,15372286728.0913,4.159375,0.9375,1
11.082036972,100.0234,15372286728.0913,4.159375,0.9375,1
11.257966995,100.0234,15372286728.0913,4.159375,0,1
11.257966995,100.0234,15372286728.0913,4.159375,0,1
11.257966995,100.0234,15372286728.0913,4.159375,0,1
11.257966995,100.0234,15372286728.0913,4.159375,0,1
11.433815479,100.0234,15372286728.0913,4.16125,0.3125,1
11.433815479,100.0234,15372286728.0913,4.16125,0.3125,1
11.433815479,100.0234,15372286728.0913,4.16125,0.3125,1
11.609443188,100.0234,15372286728.0913,4.159375,-1.5625,1
11.609443188,100.0234,15372286728.0913,4.159375,-1.5625,1
11.609443188,100.0234,15372286728.0913,4.159375,-1.5625,1
11.609443188,100.0234,15372286728.0913,4.159375,-1.5625,1
11.785280704,100.0234,15372286728.0913,4.159375,0.3125,1
11.785280704,100.0234,15372286728.0913,4.159375,0.3125,1
11.785280704,100.0234,15372286728.0913,4.159375,0.3125,1
11.961232185,100.0234,15372286728.0913,4.158125,-0.3125,1
11.961232185,100.0234,15372286728.0913,4.158125,-0.3125,1
11.961232185,100.0234,15372286728.0913,4.158125,-0.3125,1
11.961232185,100.0234,15372286728.0913,4.158125,-0.3125,1
12.136867046,100.0234,15372286728.0913,4.15875,-0.625,1
12.136867046,100.0234,15372286728.0913,4.15875,-0.625,1
